City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,utete,-7.986,38.758,20.87,91,17,1.69,TZ,1686508951
117,roma,43.2128,-75.4557,28.86,46,0,3.09,US,1686508883
118,yelizavetinskaya,45.0445,38.7958,21.07,63,84,1.85,RU,1686508951
119,peace river,56.2501,-117.286,22.17,40,75,2.06,CA,1686508952
120,zheleznogorsk-ilimskiy,56.5768,104.1217,7.55,74,6,2.72,RU,1686508952
121,alta,69.9689,23.2717,17.59,39,40,5.66,NO,1686508952
122,kale,50.9581,1.8521,21.65,97,73,5.36,FR,1686508952
123,eureka,40.8021,-124.1637,24.82,81,100,1.34,US,1686508952
124,medicine hat,50.0501,-110.6683,27.62,33,75,3.6,CA,1686508768
125,vorkuta,67.5,64.0,1.23,77,100,9.04,RU,1686508952
126,kanzakimachi-kanzaki,33.3,130.3667,22.98,88,100,1.06,JP,1686508953
127,port shepstone,-30.7414,30.455,16.66,75,0,3.62,ZA,1686508953
128,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,76,0,4.0,RU,1686508953
129,talcahuano,-36.7167,-73.1167,10.82,54,0,3.09,CL,1686508953
130,bani walid,31.7566,13.9942,23.78,62,0,8.54,LY,1686508953
131,colonia,50.9333,6.95,28.13,30,0,3.09,DE,1686508769
132,zhangjiakou,40.81,114.8794,14.76,56,42,2.86,CN,1686508756
133,arraial do cabo,-22.9661,-42.0278,30.98,35,0,2.57,BR,1686508954
134,forster,-32.1667,152.5167,10.74,88,76,2.56,AU,1686508954
135,nova sintra,14.8667,-24.7167,22.27,83,6,10.4,CV,1686508954
136,labuan,5.2767,115.2417,27.2,78,20,1.03,MY,1686508954
137,gizo,-8.103,156.8419,27.36,80,23,2.5,SB,1686508954
138,atherton,53.5237,-2.4935,23.19,94,99,1.89,GB,1686508954
139,port elizabeth,-33.918,25.5701,13.51,95,0,1.03,ZA,1686508955
140,nar'yan-mar,67.6713,53.087,3.48,61,100,4.45,RU,1686508955
141,okha,53.5739,142.9478,5.19,93,98,1.91,RU,1686508955
142,edinburgh of the seven seas,-37.0676,-12.3116,16.55,77,62,12.53,SH,1686508955
143,nishon tumani,38.694,65.6751,29.14,32,0,1.03,UZ,1686508955
144,yacuiba,-22.038,-63.6797,11.45,45,100,3.84,BO,1686508955
145,wailua homesteads,22.0669,-159.378,25.44,79,20,5.14,US,1686508956
146,cao lanh,10.45,105.6333,24.97,89,100,2.36,VN,1686508956
147,tazovsky,67.4667,78.7,8.05,97,100,2.65,RU,1686508956
148,kumasi,6.6885,-1.6244,21.78,98,68,1.46,GH,1686508956
149,yesilhisar,38.3497,35.0867,14.72,86,82,1.15,TR,1686508956
150,aykhal,66.0,111.5,-0.1,96,100,7.91,RU,1686508956
151,pisco,-13.7,-76.2167,23.03,60,75,4.63,PE,1686508662
152,touros,-5.1989,-35.4608,26.25,83,26,4.76,BR,1686508957
153,fisterra,42.9049,-9.2629,21.68,87,3,4.01,ES,1686508957
154,charters towers,-20.1,146.2667,16.24,87,23,3.82,AU,1686508957
155,argostolion,38.1811,20.489,23.04,78,20,4.63,GR,1686508957
156,sorada,19.75,84.4333,34.45,30,100,1.55,IN,1686508957
157,ashta,23.0167,76.7167,33.37,32,20,5.37,IN,1686508958
158,papatowai,-46.5619,169.4708,8.68,83,71,4.8,NZ,1686508961
159,rudnya,54.947,31.0934,9.35,64,0,3.64,RU,1686508961
160,katsuura,35.1333,140.3,21.01,95,100,0.96,JP,1686508916
161,luderitz,-26.6481,15.1594,12.78,84,0,2.15,NA,1686508961
162,talnakh,69.4865,88.3972,9.56,62,100,4.82,RU,1686508961
163,college,64.8569,-147.8028,17.55,37,75,8.23,US,1686508962
164,tazacorte,28.629,-17.9293,24.53,86,20,1.79,ES,1686508962
165,celestun,20.8667,-90.4,31.93,61,4,5.65,MX,1686508962
166,baoshan,46.5586,131.4244,14.78,83,100,1.2,CN,1686508962
167,tolanaro,-25.0319,46.9987,20.04,83,20,0.0,MG,1686508962
168,villa regina,-39.1,-67.0667,12.24,21,0,4.93,AR,1686508962
169,klyuchi,52.2667,79.1667,15.13,62,0,2.56,RU,1686508962
170,hamilton,39.1834,-84.5333,23.18,88,75,5.14,US,1686508691
171,yuzhno-kurilsk,44.0306,145.8556,11.26,99,100,3.63,RU,1686508963
172,isafjordur,66.0755,-23.124,10.24,58,11,8.93,IS,1686508963
173,tevriz,57.509,72.4042,10.33,92,100,2.73,RU,1686508963
174,villamontes,-21.25,-63.5,14.07,43,100,4.1,BO,1686508963
175,wewak,-3.5534,143.6268,26.21,87,100,2.97,PG,1686508963
176,zeya,53.75,127.2667,16.27,70,35,1.31,RU,1686508964
177,elsterwerda,51.45,13.5333,24.92,61,83,3.16,DE,1686508964
178,lihue,21.9789,-159.3672,25.77,73,20,5.14,US,1686508964
179,napili-honokowai,20.9708,-156.6705,27.39,85,0,6.55,US,1686508964
180,jaguaruna,-28.615,-49.0256,14.37,94,100,4.3,BR,1686508959
181,tahe,52.3333,124.7333,13.41,73,55,1.61,CN,1686508964
182,igarka,67.4667,86.5833,11.6,42,100,9.24,RU,1686508965
183,mossendjo,-2.9506,12.7261,21.52,97,49,1.33,CG,1686508965
184,san rafael del yuma,18.4299,-68.6739,33.11,53,16,5.72,DO,1686508965
185,patong,7.8961,98.2966,25.08,81,99,4.43,TH,1686508965
186,flying fish cove,-10.4217,105.6791,24.82,94,100,4.12,CX,1686508965
187,susuman,62.7833,148.1667,15.18,53,19,1.27,RU,1686508965
188,lompoc,34.6391,-120.4579,20.29,75,100,3.09,US,1686508966
189,bolkhov,53.4433,36.0044,12.68,61,100,5.48,RU,1686508966
190,taco pozo,-25.6167,-63.2833,14.24,24,100,3.94,AR,1686508966
191,bambari,5.768,20.6757,26.34,64,95,0.92,CF,1686508966
192,kununurra,-15.7667,128.7333,16.99,94,94,0.0,AU,1686508966
193,udachny,66.4167,112.4,0.25,100,100,6.62,RU,1686508966
194,verkhnevilyuysk,63.4453,120.3167,7.56,66,100,4.57,RU,1686508967
195,saint-pierre,-21.3393,55.4781,21.82,73,0,2.57,RE,1686508967
196,fort bragg,35.139,-79.006,32.12,36,40,3.6,US,1686508967
197,saint-philippe,-21.3585,55.7679,21.77,82,38,4.87,RE,1686508967
198,puerto ayora,-0.7393,-90.3518,31.98,72,82,5.99,EC,1686508967
199,ust-nera,64.5667,143.2,15.75,63,100,4.17,RU,1686508967
200,nyandoma,61.669,40.1991,7.93,67,34,1.96,RU,1686508968
201,cunen,15.3375,-91.0269,27.78,27,51,2.42,GT,1686508968
202,boyolangu,-8.1181,111.8935,23.57,93,100,1.05,ID,1686508968
203,zlatni pyasatsi,43.285,28.0418,20.31,84,1,2.06,BG,1686508968
204,bol'sherech'ye,56.0925,74.6272,13.46,96,89,3.53,RU,1686508968
205,pangody,65.85,74.4859,7.84,74,59,4.2,RU,1686508968
206,whitehorse,60.7161,-135.0538,13.94,43,75,6.17,CA,1686508699
207,manokwari,-0.8667,134.0833,25.65,83,100,1.71,ID,1686508969
208,troitskoye,52.9821,84.6757,11.42,94,2,2.5,RU,1686508969
209,puerto baquerizo moreno,-0.9,-89.6,28.55,74,40,7.2,EC,1686508809
210,tarakan,3.3,117.6333,27.16,78,100,0.74,ID,1686508969
211,awjilah,29.1081,21.2869,31.14,30,2,4.43,LY,1686508969
212,ylitornio,66.3089,23.6773,14.9,46,100,4.69,FI,1686508970
213,victoriaville,46.0501,-71.9658,22.69,54,93,2.84,CA,1686508688
214,edmundston,47.3737,-68.3251,23.19,42,20,3.6,CA,1686508886
215,jieshi,22.8134,115.8257,26.52,87,100,3.9,CN,1686508970
216,penzance,50.1186,-5.5371,18.76,91,51,3.84,GB,1686508970
217,big bend,-26.8167,31.9333,15.94,81,0,1.12,SZ,1686508970
218,lorengau,-2.0226,147.2712,27.47,79,43,3.21,PG,1686508970
219,rongelap,11.1635,166.8941,27.67,81,100,7.64,MH,1686508971
220,namibe,-15.1961,12.1522,19.13,74,58,4.58,AO,1686508971
221,rensselaer,42.7168,-73.4829,27.04,42,100,1.76,US,1686508801
222,chernyshevsk,52.5243,117.0174,14.29,65,44,0.88,RU,1686508971
223,broken hill,-31.95,141.4333,10.6,58,7,2.9,AU,1686508971
224,tindouf,27.6711,-8.1474,34.25,16,0,9.77,DZ,1686508971
225,amarante do maranhao,-5.5667,-46.7422,29.8,56,99,0.99,BR,1686508972
226,vancleave,30.5405,-88.6875,32.94,66,40,4.12,US,1686508972
227,jaguaribe,-5.8906,-38.6219,32.9,38,9,3.18,BR,1686508972
228,kharp,66.8014,65.8081,3.03,88,100,5.46,RU,1686508972
229,thompson,55.7435,-97.8558,25.09,36,75,6.69,CA,1686508972
230,kavieng,-2.5744,150.7967,27.74,80,16,4.54,PG,1686508972
231,huarmey,-10.0681,-78.1522,24.22,68,4,5.36,PE,1686508972
232,mishan,45.55,131.8833,14.07,94,92,2.11,CN,1686508973
233,sabha,27.0377,14.4283,36.98,13,52,5.67,LY,1686508973
234,valparaiso,-33.0393,-71.6273,15.0,63,0,3.6,CL,1686508973
235,sanliurfa,37.2128,38.7817,25.93,43,99,5.25,TR,1686508973
236,mount pearl,47.5166,-52.7813,7.14,96,100,6.17,CA,1686508973
237,namtsy,62.7161,129.6658,17.52,94,100,1.42,RU,1686508973
238,manay,7.215,126.5397,25.85,84,31,2.49,PH,1686508974
239,nongstoin,25.5167,91.2667,17.9,97,90,1.77,IN,1686508974
240,zaozersk,69.4005,32.4476,15.14,55,100,2.71,RU,1686508974
241,east london,-33.0153,27.9116,16.52,63,0,2.57,ZA,1686508974
242,barah,13.7,30.3667,28.47,56,78,4.39,SD,1686508930
243,fort mcmurray,56.7268,-111.381,23.77,53,0,3.09,CA,1686508974
244,ciudad satelite,19.5167,-99.25,28.28,29,95,3.19,MX,1686508974
245,usinsk,65.9939,57.5281,1.36,84,15,4.42,RU,1686508975
246,fort-de-france,14.6089,-61.0733,30.97,66,75,9.77,MQ,1686508753
247,mahina,-17.5065,-149.489,25.87,69,20,1.03,PF,1686508975
248,sant lluis,39.8526,4.2594,25.22,65,0,1.03,ES,1686508975
249,mumford,5.2618,-0.759,26.2,77,100,4.45,GH,1686508975
250,port alfred,-33.5906,26.891,18.77,44,3,4.21,ZA,1686508975
251,panglao,9.5781,123.7458,28.73,74,89,3.01,PH,1686508976
252,gryazi,52.4966,39.9359,15.34,65,100,6.88,RU,1686508976
253,iskateley,67.6803,53.1512,3.39,61,100,4.43,RU,1686508976
254,pechora,65.1472,57.2244,3.31,87,90,4.23,RU,1686508976
255,new ulm,44.3125,-94.4605,19.68,38,0,5.14,US,1686508911
256,mhamid,29.82,-5.72,36.0,8,0,3.52,MA,1686508976
